iter	RMSE
0	1.118002585
1	1.081703114
2	1.04792334
3	1.015192069
4	0.9859803047
5	0.9596288737
6	0.9353444907
7	0.9114988306
8	0.8904128817
9	0.8700871219
10	0.8530685625
11	0.8356271623
12	0.8183077006
13	0.8044543085
14	0.7883444693
15	0.7761182367
16	0.763234825
17	0.7491588144
18	0.738825008
19	0.7270057479
20	0.7178653564
21	0.709321378
22	0.6993887859
23	0.6921592295
24	0.6832387672
25	0.6769405469
26	0.671093325
27	0.6631451775
28	0.6580116529
29	0.6512238249
30	0.6470540456
31	0.6427739646
32	0.6387186208
33	0.6345533364
34	0.6306102003
35	0.6269773931
36	0.6235383879
37	0.6207984244
38	0.6162611181
39	0.6137133166
40	0.6110145749
41	0.6079941084
42	0.6058981755
43	0.6033573313
44	0.6012431433
45	0.5982605096
46	0.5953695249
47	0.5923290127
48	0.5904288648
49	0.588559088
50	0.584268202
51	0.5824526441
52	0.5808988022
53	0.5782110137
54	0.5759942225
55	0.5736893843
56	0.5726230764
57	0.5712192044
58	0.5680670054
59	0.5669238613
60	0.5643561334
61	0.5634795673
62	0.56107693
63	0.5589905824
64	0.557665876
65	0.5560359981
66	0.5551042834
67	0.5536471906
68	0.5522702365
69	0.5512392615
70	0.5499733906
71	0.5489317059
72	0.5474160012
73	0.5467332894
74	0.545756621
75	0.5449063276
76	0.543518952
77	0.5423891738
78	0.5415191495
79	0.5402562188
80	0.5394864488
81	0.5384134021
82	0.5374473735
83	0.5367170651
84	0.536144395
85	0.5350993994
86	0.5336645238
87	0.5318839003
88	0.531361793
89	0.5301696776
90	0.5295121993
91	0.5283724357
92	0.5277974629
93	0.5271159161
94	0.526504417
95	0.5252980106
96	0.5245082284
97	0.5238942667
98	0.522920333
99	0.52224827
100	0.5209927433
101	0.5204131873
102	0.5197260828
103	0.5189633217
104	0.5183713917
105	0.5177583436
106	0.5171424377
107	0.5168430637
108	0.5159074922
109	0.5155460082
110	0.5151102871
111	0.5143399424
112	0.5132733444
113	0.5127645141
114	0.5123268346
115	0.5118790772
116	0.5112492645
117	0.5107225601
118	0.5102005008
119	0.5097764362
120	0.5087782952
121	0.5083571545
122	0.5077053779
123	0.5069842255
124	0.5065466821
125	0.5060661083
126	0.5053831853
127	0.5049032458
128	0.5042442318
129	0.5037408622
130	0.5032263516
131	0.5025253596
132	0.5020952062
133	0.5014938674
134	0.5011766211
135	0.5005208619
136	0.5002533137
137	0.4995907557
138	0.4991884996
139	0.4987227847
140	0.4983224188
141	0.4978519712
142	0.4973566321
143	0.4969852477
144	0.4964705315
145	0.4959689624
146	0.4956322759
147	0.4947969365
148	0.4937131207
149	0.4933154084
150	0.4928750863
151	0.4923073325
152	0.49152391
153	0.4911844773
154	0.4905643056
155	0.4901604923
156	0.489705924
157	0.4893470148
158	0.4888312343
159	0.4883425209
160	0.4879966037
161	0.487557094
162	0.4871810672
163	0.486730552
164	0.4861567309
165	0.4857389416
166	0.485317886
167	0.4844929404
168	0.4841607481
169	0.4838018276
170	0.4832936376
171	0.4830600061
172	0.4825985524
173	0.4821951408
174	0.4817333963
175	0.481508159
176	0.4810327287
177	0.4806640502
178	0.4802750336
179	0.4798647287
180	0.4794866574
181	0.4792190377
182	0.4788960134
183	0.4785749506
184	0.4782819399
185	0.4777770737
186	0.4773468315
187	0.4768950125
188	0.4765627695
189	0.4761980114
190	0.4758310547
191	0.4747350668
192	0.4741863283
193	0.4737815859
194	0.4734314881
195	0.4727640498
196	0.4722629787
197	0.4716867454
198	0.4711826832
199	0.4707257041
200	0.4702089545
201	0.4697851885
202	0.4694804996
203	0.4692505539
