iter	Passed	Remaining
0	2	2976
1	5	2964
2	8	2679
3	9	2485
4	11	2328
5	13	2229
6	15	2234
7	17	2183
8	19	2164
9	22	2189
10	24	2192
11	26	2155
12	27	2117
13	29	2089
14	31	2096
15	33	2085
16	35	2075
17	38	2113
18	40	2105
19	42	2085
20	44	2066
21	46	2045
22	48	2047
23	50	2034
24	51	2017
25	54	2032
26	56	2035
27	58	2033
28	60	2020
29	62	2007
30	64	2011
31	66	2019
32	69	2041
33	71	2043
34	73	2031
35	75	2016
36	77	2006
37	78	1993
38	80	1989
39	82	1984
40	85	2002
41	88	2007
42	89	2000
43	91	1993
44	94	1999
45	95	1989
46	97	1977
47	99	1967
48	102	1982
49	104	1979
50	106	1972
51	108	1969
52	110	1971
53	112	1965
54	114	1962
55	116	1963
56	119	1976
57	121	1973
58	123	1972
59	125	1971
60	127	1963
61	129	1957
62	131	1956
63	134	1964
64	136	1962
65	138	1958
66	140	1956
67	142	1951
68	144	1948
69	146	1944
70	148	1943
71	151	1946
72	153	1946
73	155	1950
74	159	1969
75	161	1963
76	163	1963
77	166	1970
78	168	1968
79	171	1969
80	173	1966
81	175	1961
82	176	1955
83	179	1952
84	181	1950
85	183	1953
86	187	1966
87	189	1964
88	191	1963
89	194	1962
90	196	1961
91	198	1962
92	201	1965
93	204	1975
94	207	1973
95	209	1976
96	212	1979
97	216	1990
98	219	1997
99	222	1998
100	224	1999
101	227	1999
102	229	2001
103	233	2008
104	236	2014
105	239	2017
106	242	2021
107	245	2025
108	248	2035
109	252	2041
110	255	2044
111	258	2049
112	262	2059
113	266	2071
114	269	2076
115	273	2084
116	276	2090
117	281	2106
118	286	2119
119	289	2125
120	293	2131
121	297	2141
122	301	2147
123	305	2156
124	308	2160
125	316	2192
126	321	2207
127	324	2213
128	329	2223
129	331	2221
130	336	2230
131	340	2238
132	347	2262
133	353	2285
134	357	2290
135	363	2307
136	368	2321
137	372	2326
138	380	2359
139	385	2365
140	389	2372
141	394	2380
142	399	2397
143	403	2398
144	409	2414
145	418	2448
146	427	2478
147	433	2496
148	437	2501
149	445	2522
150	449	2525
151	453	2532
152	459	2542
153	463	2546
154	467	2551
155	474	2566
156	479	2572
157	483	2575
158	487	2578
159	493	2591
160	498	2595
161	501	2596
162	506	2601
163	510	2604
164	515	2606
165	538	2707
166	558	2784
167	562	2783
168	567	2789
169	571	2788
170	574	2784
171	577	2779
172	580	2775
173	583	2771
174	587	2768
175	590	2762
176	593	2759
177	596	2755
178	599	2750
179	603	2748
180	605	2741
181	608	2735
182	611	2729
183	613	2721
184	616	2714
185	619	2709
186	621	2702
187	624	2698
188	628	2695
189	630	2689
190	634	2686
191	637	2680
192	640	2676
193	643	2672
194	645	2666
